# Wordlist

# DATA
ID	CONCEPT	DATECREATED	DATEMODIFIED	EN_GLOSS	FORM_IN_SOURCE	GUID	DOCULECT	LANGUAGE_IN_SOURCE	OID	ORDER	COUNTERPART	POS	PT_GLOSS	REFERENCE	SENSE_ID
213	bush	2014-04-08T15:04:33Z	2014-04-20T19:34:01Z	bush	umí	c69616f2-6c39-4934-98b3-0d6c67446ef1	trz	trz	umi_c69616f2-6c39-4934-98b3-0d6c67446ef1		umi		mato		7412764b-3fa5-4e20-af95-d1fb02c585bc
#
202	buttocks	2014-04-06T16:28:35Z	2014-04-20T19:33:07Z	buttocks	taahón	be23085e-3caf-4af7-bad1-739fd4cfd3ca	trz	trz	taahon_be23085e-3caf-4af7-bad1-739fd4cfd3ca		taahon		nadegas		e73088f8-ad4d-43e7-b1e3-9de07fd4c3cc
#
262	cachiry	2014-04-06T21:37:57Z	2014-04-20T19:32:43Z	cachiry	šakįrī́	efd2215b-5648-47f4-a790-5a20bb7ee2ed	trz	trz	xaki&apos;ri_efd2215b-5648-47f4-a790-5a20bb7ee2ed		xaki'ri		cachiry		c06f68da-f07c-4f58-8f75-78013b15a76c
#
211	canoe	2014-04-06T21:11:41Z	2014-04-20T19:31:27Z	canoe	anawá	c4e9da48-0c51-434d-a108-58a31e87ced5	trz	trz	anawa_c4e9da48-0c51-434d-a108-58a31e87ced5		anawa		canoa		c14f30ed-883d-4fab-8291-6acb791a9f5a
#
141	capuchin monkey	2014-04-07T19:46:10Z	2014-04-20T17:18:10Z	capuchin monkey	yuįn	795f42c3-68be-4a4e-9c2c-bb58fed15433	trz	trz	jui&apos;n_795f42c3-68be-4a4e-9c2c-bb58fed15433		jui'n		Macaco prego		aaa8061e-0bac-4a8f-84ae-8981eb5b644b
#
